threshold,precision
0,0.00030156815440289503
1,0.008762230264039673
2,0.03298820533440557
3,0.07267792521109771
4,0.12133092078809811
5,0.1764173703256936
6,0.23358128937139794
7,0.2900750569628736
8,0.3412243667068758
9,0.3891904570432918
10,0.43432515748559175
11,0.47123374882723496
12,0.503719340570969
13,0.5333735424205871
14,0.5596099718536389
15,0.5831993030424876
16,0.604141535987133
17,0.6234754054416298
18,0.640061653933789
19,0.6540008041817451
20,0.6670184961801368
21,0.6775231202251709
22,0.6867377027208149
23,0.6961365768663718
24,0.7039270875217799
25,0.7110474467229594
26,0.7180002680605817
27,0.7243499530893982
28,0.729912210159496
29,0.7349215922798552
30,0.7394786221686102
31,0.7437843452620292
32,0.7478387615601125
33,0.7519434392172631
34,0.7557633025063665
35,0.7592983514274226
36,0.7630847071438145
37,0.766184157619622
38,0.7689820399410267
39,0.7723160434258143
40,0.7753484787561989
41,0.7783306527275164
42,0.7808604744672296
43,0.7832730197024528
44,0.7856353035786088
45,0.7877797882321405
46,0.7897902425948264
47,0.791884465889291
48,0.7936436134566413
49,0.7954530223830586
50,0.7971954161640531
