threshold,success
0.0,1.0
0.01,0.6564682053195459
0.02,0.6274825435744363
0.03,0.612867117957465
0.04,0.600618303928362
0.05,0.589638078993657
0.06,0.5774958690901338
0.07,0.5652470550610309
0.08,0.5524012579286819
0.09,0.5370715846703268
0.1,0.5208037951068706
0.11,0.5045146847182986
0.12,0.4880230264911252
0.13,0.4734822237620596
0.14,0.4636106817333831
0.15,0.45437876445818454
0.16,0.445445338734609
0.17,0.43743936890357654
0.18,0.4300303821757902
0.19,0.4234315868024093
0.2,0.4172805287564629
0.21,0.4110441874100528
0.22,0.404711902350621
0.23,0.3988913170939715
0.24,0.3932306380256916
0.25,0.38794307339694045
0.26,0.3827834337188849
0.27,0.37763445445338734
0.28,0.37283726880230267
0.29,0.3681466872767976
0.3,0.363647993177336
0.31,0.3587442034006716
0.32,0.3536591866105218
0.33,0.3491071904482703
0.34,0.3441714194339321
0.35000000000000003,0.34018442513725283
0.36,0.33568573103779115
0.37,0.3308032620862427
0.38,0.3258568306593465
0.39,0.32054794520547947
0.4,0.3153883055274239
0.41000000000000003,0.30986621182239754
0.42,0.3045146847182986
0.43,0.2989606097755983
0.44,0.29381163051010073
0.45,0.2887799157827408
0.46,0.28328980331538833
0.47000000000000003,0.277746388785246
0.48,0.2718191994030169
0.49,0.26603059538404134
0.5,0.2600287831139065
0.51,0.2544214061084164
0.52,0.2486541229145568
0.53,0.2428548584830233
0.54,0.23698097116358402
0.55,0.23111774425670273
0.56,0.22483876126006078
0.5700000000000001,0.218495815788071
0.58,0.21205692660305953
0.59,0.20551143329246843
0.6,0.19858216512979052
0.61,0.19148233036618517
0.62,0.18415862693886254
0.63,0.17697350887479346
0.64,0.16991631576141997
0.65,0.16225147913224242
0.66,0.15449069879004318
0.67,0.14643142689622088
0.68,0.13883055274239112
0.6900000000000001,0.13045146847182987
0.7000000000000001,0.12118756995895741
0.71,0.11285112733862801
0.72,0.10497308245829114
0.73,0.09725494376632375
0.74,0.08992057992644316
0.75,0.08208517669633815
0.76,0.07480411491924738
0.77,0.06789616758168542
0.78,0.06146793880923192
0.79,0.05554074942700282
0.8,0.04948563509407814
0.81,0.04361174777463888
0.8200000000000001,0.038164276957518256
0.8300000000000001,0.033025958104578645
0.84,0.028292734928841747
0.85,0.024359042694952295
0.86,0.0205959170619903
0.87,0.01691807472949203
0.88,0.013666648899312404
0.89,0.010798997921219551
0.9,0.008165876019401951
0.91,0.00643888918501146
0.92,0.004925110601780289
0.93,0.0037844464580779275
0.9400000000000001,0.0029742551036725123
0.9500000000000001,0.0023239699376365864
0.96,0.0020681200362454026
0.97,0.0019188742604338788
0.98,0.0018549117850860828
0.99,0.0018335909599701509
1.0,1.0660412557965993e-05
