threshold,precision
0,2.1320825115931986e-05
1,0.01602260007462289
2,0.050722242950802195
3,0.09203134161292043
4,0.12859655668674377
5,0.16004477373274345
6,0.18515004530675336
7,0.20674804114919249
8,0.22614999200469058
9,0.24247108363093653
10,0.2581525505037045
11,0.2722349554927776
12,0.2855391503651191
13,0.2980011726453814
14,0.3099621555354192
15,0.3205905868557113
16,0.3311976973508875
17,0.3403336709130643
18,0.35016257129150896
19,0.3595330739299611
20,0.36919140770747827
21,0.37801822930547413
22,0.3867384467778903
23,0.3948083790842706
24,0.4031661425297159
25,0.41121475401098023
26,0.41944459250572996
27,0.42709876872234953
28,0.4345717179254837
29,0.44199136506582803
30,0.44926176643036086
31,0.45641490325675604
32,0.4635680400831512
33,0.4707105164969884
34,0.4779276157987314
35,0.4843771653963008
36,0.4907201108682906
37,0.4977666435691061
38,0.5043441181173711
39,0.5108789510154043
40,0.5168168008101913
41,0.5236501252598476
42,0.5297265604178881
43,0.5355578060870956
44,0.5411438622674698
45,0.5470923724748148
46,0.553264751345877
47,0.5583497681360269
48,0.5640744096796546
49,0.5691381056446885
50,0.5748201055380843
