threshold,success
0.0,1.0
0.01,0.9376472898664572
0.02,0.937254516889238
0.03,0.9367635506677141
0.04,0.9365671641791045
0.05,0.9363707776904949
0.06,0.9358798114689709
0.07,0.9355852317360566
0.08,0.9351924587588374
0.09,0.9351924587588374
0.1,0.9349960722702279
0.11,0.9349960722702279
0.12,0.9347996857816182
0.13,0.9346032992930087
0.14,0.9341123330714847
0.15,0.9339159465828751
0.16,0.9338177533385703
0.17,0.9331304006284368
0.18,0.9325412411626081
0.19,0.9320502749410841
0.2,0.93155930871956
0.21,0.9309701492537313
0.22,0.9300864100549883
0.23,0.9296936370777691
0.24,0.9290062843676355
0.25,0.9276315789473685
0.26,0.9267478397486253
0.27,0.9253731343283582
0.28,0.924489395129615
0.29,0.9226237234878241
0.3,0.9201688923802043
0.31,0.9178122545168892
0.32,0.9158483896307934
0.33,0.9131971720345641
0.34,0.9107423409269442
0.35000000000000003,0.9083857030636292
0.36,0.9059308719560094
0.37,0.9025923016496465
0.38,0.8986645718774549
0.39,0.8944422623723488
0.4,0.8895326001571092
0.41000000000000003,0.8836410054988216
0.42,0.8782403770620582
0.43,0.8706794972505891
0.44,0.8632168106834249
0.45,0.8553613511390417
0.46,0.846229379418696
0.47000000000000003,0.8366064414768264
0.48,0.8260015710919089
0.49,0.8154948939512962
0.5,0.8047918303220738
0.51,0.7941869599371564
0.52,0.781127258444619
0.53,0.7671838177533385
0.54,0.7521602513747054
0.55,0.7354673998428908
0.56,0.7189709347996858
0.5700000000000001,0.6992340926944226
0.58,0.6771406127258445
0.59,0.6535742340926944
0.6,0.6301060487038491
0.61,0.6059505106048704
0.62,0.5824823252160252
0.63,0.5582285938727416
0.64,0.5342694422623724
0.65,0.5080518460329929
0.66,0.4840926944226237
0.67,0.4580714846818539
0.68,0.4339159465828751
0.6900000000000001,0.4081893165750196
0.7000000000000001,0.38108798114689707
0.71,0.3554595443833464
0.72,0.329241948153967
0.73,0.30331893165750196
0.74,0.2751374705420267
0.75,0.2514728986645719
0.76,0.22996857816182248
0.77,0.20650039277297721
0.78,0.1838177533385703
0.79,0.16388452474469756
0.8,0.14238020424194817
0.81,0.12450903377847604
0.8200000000000001,0.10712882953652789
0.8300000000000001,0.08857030636292224
0.84,0.07384131971720345
0.85,0.0589159465828751
0.86,0.046347211311861744
0.87,0.03800078554595444
0.88,0.029752553024351924
0.89,0.023369992144540455
0.9,0.016889238020424194
0.91,0.01237234878240377
0.92,0.007855459544383346
0.93,0.0048114689709348
0.9400000000000001,0.003043990573448547
0.9500000000000001,0.0019638648860958365
0.96,0.0008837391987431265
0.97,0.00039277297721916735
0.98,0.00019638648860958367
0.99,0.00019638648860958367
1.0,0.00019638648860958367
