threshold,precision
0,0.00033507572711432784
1,0.023103471384532906
2,0.08614796944109368
3,0.17606554081222356
4,0.2705066344993969
5,0.3634733949872671
6,0.4387649108698566
7,0.5008711968904973
8,0.5457713443238171
9,0.5791951481034714
10,0.6058169146227047
11,0.6260554885404102
12,0.6431611044095966
13,0.6586080954295671
14,0.6708886208283072
15,0.6822644417638386
16,0.6920654067819327
17,0.7005930840369924
18,0.7087856855649377
19,0.7157887682616271
20,0.7224400214448465
21,0.7283708618147702
22,0.733698565875888
23,0.7383393646964214
24,0.7424105347808605
25,0.7469005495241925
26,0.750770674172363
27,0.7546407988205335
28,0.7580418174507438
29,0.7616606353035786
30,0.7649946387883662
31,0.7676417370325693
32,0.7702888352767725
33,0.7727683956574186
34,0.7752479560380646
35,0.7777945315641335
36,0.7802405843720681
37,0.7827704061117813
38,0.7849316445516686
39,0.787394451145959
40,0.7893211365768664
41,0.7913650985122638
42,0.7933085377295269
43,0.7955367913148371
44,0.7975304918911674
45,0.7995744538265648
46,0.8013000938212036
47,0.803226779252111
48,0.8049859268194612
49,0.8070801501139258
50,0.8086382522450074
