attribute,sequences,frames,auc_weighted,pr20_weighted,mean_failure_rate_iou_010
fast_motion,5,10913,0.6631186531096984,0.9644460734903326,0.026573811051040043
large_or_deformable_object,7,14163,0.5198442741965364,0.8143048789098355,0.12483230953893949
all,32,59688,0.4894194033396102,0.7224400214448465,0.21744739311084305
similar_or_multiple_objects,9,16977,0.46139010437534306,0.6707898922071037,0.24356482299581786
low_event_density,5,9850,0.3707694627330754,0.5538071065989848,0.3136040609137056
small_rigid_object,5,9076,0.281722222464644,0.3968708682238872,0.46870868223887174
high_dynamic_range,2,3917,0.2129913527477333,0.28414603012509576,0.7130456982384478
