attribute,sequences,frames,auc_weighted,pr20_weighted,norm_precision_020_weighted,mean_failure_rate_iou_010
high_dynamic_range,1,1948,0.6666853030272227,0.9568788501026694,0.8213552361396304,0.003593429158110883
small_rigid_object,1,1948,0.6666853030272227,0.9568788501026694,0.8213552361396304,0.003593429158110883
fast_motion,2,4910,0.6501401463975318,0.9841140529531568,0.6947046843177189,0.009368635437881873
all,5,10184,0.6088010313207283,0.9186959937156324,0.6640809112333071,0.06559308719560095
low_event_density,1,1290,0.60364571340855,0.9891472868217054,0.6255813953488372,0.0
similar_or_multiple_objects,1,2036,0.45699196638720835,0.6797642436149313,0.46414538310412573,0.30206286836935164
