threshold,success
0.0,1.0
0.01,0.9365671641791045
0.02,0.9361743912018853
0.03,0.9355852317360566
0.04,0.9354870384917517
0.05,0.9352906520031422
0.06,0.9349960722702279
0.07,0.9349960722702279
0.08,0.934897879025923
0.09,0.9345051060487038
0.1,0.934406912804399
0.11,0.9340141398271798
0.12,0.9332285938727416
0.13,0.9331304006284368
0.14,0.9328358208955224
0.15,0.9325412411626081
0.16,0.9323448546739984
0.17,0.9316575019638649
0.18,0.9309701492537313
0.19,0.9300864100549883
0.2,0.9289080911233307
0.21,0.928318931657502
0.22,0.9275333857030637
0.23,0.9267478397486253
0.24,0.9261586802827966
0.25,0.9255695208169678
0.26,0.9239984289080911
0.27,0.9226237234878241
0.28,0.9213472113118617
0.29,0.9193833464257659
0.3,0.9160447761194029
0.31,0.9134917517674784
0.32,0.9106441476826395
0.33,0.908974862529458
0.34,0.9067164179104478
0.35000000000000003,0.9031814611154753
0.36,0.9005302435192458
0.37,0.8974862529457973
0.38,0.8942458758837392
0.39,0.8904163393558523
0.4,0.8841319717203456
0.41000000000000003,0.8790259230164965
0.42,0.8733307148468186
0.43,0.8670463472113119
0.44,0.8594854673998429
0.45,0.8512372348782403
0.46,0.8407305577376276
0.47000000000000003,0.8312058130400628
0.48,0.8208955223880597
0.49,0.8095051060487038
0.5,0.7992930086410055
0.51,0.7875098193244304
0.52,0.7751374705420268
0.53,0.7617831893165751
0.54,0.7470542026708562
0.55,0.7310487038491752
0.56,0.7129811468970935
0.5700000000000001,0.6941280439905735
0.58,0.6718381775333857
0.59,0.6506284367635506
0.6,0.6302042419481539
0.61,0.6059505106048704
0.62,0.5815003927729773
0.63,0.5546936370777691
0.64,0.5280832678711704
0.65,0.5022584446190103
0.66,0.4779065200314218
0.67,0.4535545954438335
0.68,0.42969363707776903
0.6900000000000001,0.40455616653574233
0.7000000000000001,0.3791241162608013
0.71,0.3531029065200314
0.72,0.32826001571091906
0.73,0.30312254516889237
0.74,0.2776904948939513
0.75,0.2539277297721917
0.76,0.23036135113904163
0.77,0.2054202670856245
0.78,0.1828358208955224
0.79,0.16015318146111548
0.8,0.13913982717989
0.81,0.11822466614296936
0.8200000000000001,0.1021209740769835
0.8300000000000001,0.08631186174391202
0.84,0.07197564807541242
0.85,0.059603299293008644
0.86,0.04762372348782404
0.87,0.03809897879025923
0.88,0.028770620581304005
0.89,0.021897093479968578
0.9,0.01659465828750982
0.91,0.011488609583660644
0.92,0.007953652788688138
0.93,0.005204241948153967
0.9400000000000001,0.0033385703063629223
0.9500000000000001,0.00216025137470542
0.96,0.0009819324430479183
0.97,0.00039277297721916735
0.98,0.00019638648860958367
0.99,0.00019638648860958367
1.0,0.00019638648860958367
