threshold,precision
0,0.0005863825224500737
1,0.01611714247419917
2,0.05873877496314167
3,0.128250234553009
4,0.21203592011794667
5,0.3029587186704195
6,0.38600723763570566
7,0.4632924540946254
8,0.5326196220345798
9,0.5935531430103204
10,0.6450542822677925
11,0.6885471116472323
12,0.72719809676987
13,0.7604878702586785
14,0.786506500469106
15,0.8068120895322343
16,0.8233145690926149
17,0.836365768663718
18,0.8464515480498592
19,0.8546106420050932
20,0.8617477549926283
21,0.8677791180806862
22,0.8723529017557968
23,0.8763738104811687
24,0.8798921056158692
25,0.8828072644417638
26,0.8855046240450342
27,0.887883661707546
28,0.889827100924809
29,0.8916365098512263
30,0.8932448733413751
31,0.8945349148907653
32,0.895741187508377
33,0.8966626457579413
34,0.8976343653665728
35,0.898689853906983
36,0.8994270205066345
37,0.9002479560380646
38,0.9010186302104276
39,0.9017222892373676
40,0.9025097171960863
41,0.9033306527275164
42,0.9043526336952151
43,0.9049390162176651
44,0.9057431979627396
45,0.9064468569896796
46,0.9072175311620426
47,0.9078039136844926
48,0.9083400348478756
49,0.9088761560112586
50,0.9095295536791315
