threshold,success
0.0,1.0
0.01,0.903950542822678
0.02,0.9030290845731135
0.03,0.9022081490416834
0.04,0.9014709824420319
0.05,0.9004154939016218
0.06,0.899695081088326
0.07,0.8989411607023188
0.08,0.8980029486663986
0.09,0.8971987669213242
0.1,0.8963108162444713
0.11,0.8954898807130411
0.12,0.8945349148907653
0.13,0.8933956574185766
0.14,0.8920050931510521
0.15,0.8906145288835277
0.16,0.8888888888888888
0.17,0.8873810481168745
0.18,0.8858061921994371
0.19,0.8837622302640397
0.2,0.8815339766787293
0.21,0.8795570298887548
0.22,0.8771109770808203
0.23,0.8747319394183085
0.24,0.872168610105884
0.25,0.869387481570835
0.26,0.8663550462404503
0.27,0.8627362283876157
0.28,0.8588661037394452
0.29,0.8550965018094089
0.3,0.8510085779386142
0.31,0.8467866237769736
0.32,0.8417102265111915
0.33,0.8363322610910066
0.34,0.8307364964481972
0.35000000000000003,0.8240349819059107
0.36,0.8175680203726042
0.37,0.8109167671893848
0.38,0.8033775633293124
0.39,0.7946488406379841
0.4,0.7865902694008846
0.41000000000000003,0.7763201983648305
0.42,0.766954831791985
0.43,0.7567852834740652
0.44,0.7468837957378367
0.45,0.7352566680069695
0.46,0.7240483849349953
0.47000000000000003,0.7122202117678595
0.48,0.6989344591877764
0.49,0.6855984452486262
0.5,0.6715587722825358
0.51,0.6571505160166198
0.52,0.6421726310146093
0.53,0.6261727650449002
0.54,0.6096032703390967
0.55,0.5928494839833802
0.56,0.5763470044229996
0.5700000000000001,0.5577503015681544
0.58,0.5393881517222893
0.59,0.5205736496448198
0.6,0.5003183219407586
0.61,0.48059911540008043
0.62,0.46020975740517356
0.63,0.4407251038734754
0.64,0.42031899209221285
0.65,0.40013067953357456
0.66,0.3787025867846133
0.67,0.35868181208953226
0.68,0.3370861814770138
0.6900000000000001,0.3159596568824554
0.7000000000000001,0.2946823482106956
0.71,0.27419246749765447
0.72,0.2534010186302104
0.73,0.23259281597641066
0.74,0.21347674574453826
0.75,0.19364026269937007
0.76,0.17439016217665193
0.77,0.1562960729124782
0.78,0.13870459723897602
0.79,0.12310682214180405
0.8,0.10668811151320198
0.81,0.09224634767457446
0.8200000000000001,0.0793124246079614
0.8300000000000001,0.06691462270473127
0.84,0.05535451011928696
0.85,0.04538600723763571
0.86,0.036623776973596034
0.87,0.028850020104543628
0.88,0.022483581289371397
0.89,0.01611714247419917
0.9,0.012045972389760086
0.91,0.008577938614126793
0.92,0.005947594156279319
0.93,0.003937139793593352
0.9400000000000001,0.002429299021578877
0.9500000000000001,0.001574855917437341
0.96,0.000770674172362954
0.97,0.0005528749497386409
0.98,0.0002680605816914623
0.99,0.0002177992226243131
1.0,0.0002177992226243131
