threshold,success
0.0,1.0
0.01,0.9292320064334539
0.02,0.9288634231336282
0.03,0.9282770406111781
0.04,0.9279084573113524
0.05,0.9275733815842381
0.06,0.9271210293526337
0.07,0.9266686771210294
0.08,0.9261325559576464
0.09,0.9255629272215521
0.1,0.9249932984854577
0.11,0.9243901621766519
0.12,0.9239210561586919
0.13,0.9232341509181075
0.14,0.9222456775231203
0.15,0.9213242192735558
0.16,0.9204195148103471
0.17,0.9193472724835813
0.18,0.9182917839431711
0.19,0.9172530491891168
0.2,0.915527409194478
0.21,0.9140028146361078
0.22,0.9124279587186704
0.23,0.9105682884331859
0.24,0.9087086181477014
0.25,0.9067986865031498
0.26,0.9044866639860608
0.27,0.901705535451012
0.28,0.899460528079346
0.29,0.8961935397399813
0.3,0.8928260286824823
0.31,0.8891569494705803
0.32,0.8852030558906313
0.33,0.8813999463878837
0.34,0.877127730867176
0.35000000000000003,0.8723529017557968
0.36,0.8672094893445919
0.37,0.8618482777107627
0.38,0.855917437340839
0.39,0.8501708886208283
0.4,0.8430672832060045
0.41000000000000003,0.836483045168208
0.42,0.82939619353974
0.43,0.8219072510387347
0.44,0.8138654335879909
0.45,0.8048518965286154
0.46,0.7946823482106956
0.47000000000000003,0.7845965688245543
0.48,0.7738908993432516
0.49,0.7629674306393245
0.5,0.7515413483447259
0.51,0.7391435464414958
0.52,0.7262096233748827
0.53,0.7129071170084439
0.54,0.6999229325827637
0.55,0.6856989679667604
0.56,0.6712907117008444
0.5700000000000001,0.6562960729124783
0.58,0.641301434124112
0.59,0.6247989545637314
0.6,0.6071907251038735
0.61,0.5889458517624984
0.62,0.5708350087119689
0.63,0.5511660635303579
0.64,0.5314803645623911
0.65,0.511878434526203
0.66,0.4919246749765447
0.67,0.4711834874681678
0.68,0.45092815976410666
0.6900000000000001,0.42973462002412544
0.7000000000000001,0.40713376223026404
0.71,0.385219809676987
0.72,0.36238439887414553
0.73,0.34030290845731137
0.74,0.3184392172631015
0.75,0.29674306393244876
0.76,0.2744437742929902
0.77,0.2519266854309074
0.78,0.22904101326899878
0.79,0.2075626591609704
0.8,0.18590001340302909
0.81,0.1657954697761694
0.8200000000000001,0.14594223294464548
0.8300000000000001,0.12752982173971317
0.84,0.10906714917571371
0.85,0.09197828709288298
0.86,0.07669883393646965
0.87,0.06165393378903632
0.88,0.048518965286154674
0.89,0.03779654201849618
0.9,0.02717464146897199
0.91,0.019467899745342448
0.92,0.01336952151186168
0.93,0.008879506768529688
0.9400000000000001,0.0053612116338292454
0.9500000000000001,0.003216726980297547
0.96,0.001675378635571639
0.97,0.0010219809676986998
0.98,0.00046910601796005895
0.99,0.0002010454362685967
1.0,0.0002010454362685967
