threshold,precision
0,0.0004858598043157754
1,0.013989411607023187
2,0.052824688379573784
3,0.10812893713979359
4,0.1717933252915159
5,0.23859067149175714
6,0.30243935129339233
7,0.3662210159496046
8,0.42484251440825627
9,0.47758343385605145
10,0.5231872403163115
11,0.5626926685430907
12,0.5951950140731805
13,0.6247822007773757
14,0.6482877630344458
15,0.6673033105481839
16,0.6834874681678059
17,0.6966224366706876
18,0.7080652727516419
19,0.717330116606353
20,0.7246347674574454
21,0.7309844524862619
22,0.7366974936335612
23,0.7411875083768932
24,0.7458283071974267
25,0.7494471250502613
26,0.7528146361077603
27,0.756081624447125
28,0.7592648438547112
29,0.7621800026806058
30,0.7647433319930305
31,0.7669883393646965
32,0.7690993164455167
33,0.7714113389626055
34,0.7736563463342715
35,0.7757505696287361
36,0.777828039136845
37,0.779771478354108
38,0.7819159630076398
39,0.7840604476611714
40,0.7862551936737703
41,0.7881986328910334
42,0.7901755796810079
43,0.7923703256936068
44,0.7941797346200241
45,0.7961566814099986
46,0.7979325827637046
47,0.7994906848947863
48,0.8015346468301836
49,0.8035786087655811
50,0.8058738774963141
