threshold,success
0.0,1.0
0.01,0.9424587588373919
0.02,0.9421641791044776
0.03,0.941967792615868
0.04,0.9416732128829537
0.05,0.9409858601728202
0.06,0.940593087195601
0.07,0.9399057344854674
0.08,0.9395129615082483
0.09,0.9391201885310291
0.1,0.9389238020424194
0.11,0.9383346425765907
0.12,0.9379418695993715
0.13,0.9373527101335428
0.14,0.9371563236449332
0.15,0.9361743912018853
0.16,0.9355852317360566
0.17,0.934897879025923
0.18,0.9346032992930087
0.19,0.9343087195600943
0.2,0.9329340141398271
0.21,0.9324430479183032
0.22,0.9309701492537313
0.23,0.930675569520817
0.24,0.9293008641005499
0.25,0.9281225451688924
0.26,0.9268460329929301
0.27,0.9250785545954439
0.28,0.9227219167321288
0.29,0.9208562450903378
0.3,0.9182050274941084
0.31,0.9152592301649647
0.32,0.9129025923016496
0.33,0.9103495679497251
0.34,0.9062254516889238
0.35000000000000003,0.9030832678711704
0.36,0.8989591516103692
0.37,0.8958169677926159
0.38,0.8916928515318147
0.39,0.8850157109190888
0.4,0.8794186959937156
0.41000000000000003,0.8727415553809897
0.42,0.8663589945011784
0.43,0.8576197957580518
0.44,0.8500589159465829
0.45,0.8416142969363708
0.46,0.832089552238806
0.47000000000000003,0.822663000785546
0.48,0.8115671641791045
0.49,0.7991948153967007
0.5,0.7885899450117831
0.51,0.7746465043205027
0.52,0.7606048703849175
0.53,0.7460722702278083
0.54,0.7320306362922231
0.55,0.7150432050274941
0.56,0.697172034564022
0.5700000000000001,0.6802827965435978
0.58,0.6594658287509819
0.59,0.6370777690494894
0.6,0.6152788688138257
0.61,0.5918106834249803
0.62,0.5680479183032208
0.63,0.5433032207384132
0.64,0.5163982717989002
0.65,0.49184996072270226
0.66,0.4662215239591516
0.67,0.44167321288295364
0.68,0.416044776119403
0.6900000000000001,0.3908091123330715
0.7000000000000001,0.36518067556952083
0.71,0.34230164964650434
0.72,0.3185388845247447
0.73,0.29467792615868027
0.74,0.2700314218381775
0.75,0.24823252160251374
0.76,0.22446975648075412
0.77,0.20247446975648076
0.78,0.17969363707776906
0.79,0.15642183817753338
0.8,0.13560487038491753
0.81,0.117930086410055
0.8200000000000001,0.10084446190102121
0.8300000000000001,0.08621366849960722
0.84,0.0720738413197172
0.85,0.06058523173605656
0.86,0.048016496465043204
0.87,0.036920659858601726
0.88,0.029261586802827966
0.89,0.021897093479968578
0.9,0.01659465828750982
0.91,0.011095836606441476
0.92,0.006775333857030636
0.93,0.003927729772191673
0.9400000000000001,0.0026512175962293792
0.9500000000000001,0.001767478397486253
0.96,0.0006873527101335428
0.97,0.000589159465828751
0.98,0.00019638648860958367
0.99,0.00019638648860958367
1.0,0.00019638648860958367
