sequence,frames,auc,pr20,norm_precision_020,mean_iou,mean_center_error,failure_rate_iou_010
star_mul222,2036,0.4758505320080141,0.7048133595284872,0.4950884086444008,0.4741895861896203,37.82257432608838,0.2824165029469548
star_motion,2122,0.580467707468202,0.9839773798303487,0.5532516493873704,0.5811947034368824,7.184874096398355,0.016965127238454288
bike_low,1290,0.5948422749251667,0.9744186046511628,0.5883720930232558,0.5956321518837081,13.405562808471753,0.0
box_hdr,1948,0.6552442718604511,0.9440451745379876,0.7802874743326489,0.6567262875792962,8.768016200458975,0.003593429158110883
dog_motion,2788,0.6900365072375243,0.9899569583931134,0.7690100430416069,0.6919465848458718,7.694534989803902,0.0014347202295552368
