threshold,precision
0,0.0
1,0.005053035552475881
2,0.019817706945258782
3,0.03788710623101114
4,0.05647886573210383
5,0.07556100421086297
6,0.09308672245615905
7,0.10947177655775278
8,0.124449656201695
9,0.13825489046426095
10,0.15112200842172593
11,0.16340280368850274
12,0.17411651830925856
13,0.1844784393156015
14,0.1952347955865892
15,0.20543681040456266
16,0.21440221736581205
17,0.22336762432706145
18,0.23168274612227494
19,0.23966739512819146
20,0.24782261073503545
21,0.25578593891583606
22,0.2637066254464048
23,0.27161665156441556
24,0.27917488406801344
25,0.28665849368370555
26,0.29363040349661534
27,0.30111401311230745
28,0.3079046959117318
29,0.3155055700655615
30,0.3224881402910293
31,0.32946005010393903
32,0.33596290176429827
33,0.3427535845637226
34,0.3499813442780236
35,0.3565161771760567
36,0.3632535579126912
37,0.37060924257768774
38,0.3778156814668728
39,0.38462768509141304
40,0.39217525718245294
41,0.4001385853632536
42,0.40701455146314164
43,0.4141357070518629
44,0.4208730877884974
45,0.4273972602739726
46,0.4337188849208464
47,0.440744096796546
48,0.44728959010713715
49,0.45390970630563404
50,0.4610948243697031
