tracker,sequences,frames,AUC(%),PR20(%)
sdtrack_base,32,59688,60.149559889643974,90.83065272751641
sdtrack_tiny,32,59688,59.29362387384697,91.04175043559844
v3,32,59688,59.02914628012861,89.58752177992227
simtrack,32,59688,56.85944800752692,87.88198632891033
artrack,32,59688,56.8295234227886,87.86188178528347
grm,32,59688,56.78966268158783,88.41308135638654
hit,32,59688,56.06515265519314,87.91884465889291
v2,32,59688,55.7702362516107,84.36536657284547
