threshold,precision
0,0.0005863825224500737
1,0.018563195282133762
2,0.07232609569762766
3,0.15282803913684492
4,0.24557700040209088
5,0.3405374614662914
6,0.42658490818925077
7,0.503836617075459
8,0.5716726980297547
9,0.6312324085243265
10,0.6810581691462271
11,0.7225405441629809
12,0.7570198364830452
13,0.7864897466827503
14,0.8087722825358531
15,0.8276202921860341
16,0.8420453022383059
17,0.8545101192869589
18,0.864311084305053
19,0.872168610105884
20,0.8788198632891033
21,0.884331859000134
22,0.8893412411204933
23,0.8935129339230666
24,0.8972992896394585
25,0.9002312022517089
26,0.9036322208819193
27,0.906312826698834
28,0.9086248492159228
29,0.9108866103739445
30,0.9129473260956976
31,0.9147734888084708
32,0.9162478220077738
33,0.9175546173435196
34,0.9188111513201984
35,0.9199336550060314
36,0.9212236965554216
37,0.9220613858732073
38,0.9232676584908189
39,0.9242561318858062
40,0.9251273287763034
41,0.9257639726578206
42,0.9267021846937408
43,0.9274561050797481
44,0.9282100254657553
45,0.9288969307063396
46,0.9297848813831926
47,0.9306728320600456
48,0.9312257070097842
49,0.9317450743868114
50,0.9322811955501944
