tracker,sequences,frames,auc_micro,pr20_micro,norm_precision_020_micro,auc_sequence_weighted,pr20_sequence_weighted,norm_precision_020_sequence_weighted,mean_iou,mean_center_error,absent_filter,variant,delta_auc,delta_pr20,delta_norm_precision_020
ATR-GTP-baseline,5,10184,0.6088010313207284,0.9186959937156324,0.6640809112333071,0.6088010313207283,0.9186959937156324,0.6640809112333071,0.6095233472273206,14.757693114347433,False,baseline,0.0,0.0,0.0
ATR-GTP-zero,5,10184,0.5056961803800176,0.7713079340141398,0.5418303220738413,0.5056961803800175,0.7713079340141398,0.5418303220738413,0.5048596786409959,30.744959584677222,False,zero,-0.10310485094071076,-0.1473880597014926,-0.12225058915946585
ATR-GTP-weak,5,10184,0.6145963771553904,0.9188923802042419,0.6762568735271013,0.6145963771553903,0.9188923802042419,0.6762568735271013,0.615434290983683,15.018336514347292,False,weak,0.0057953458346620135,0.00019638648860953456,0.01217596229379414
ATR-GTP-fixed1,5,10184,0.6088010313207284,0.9186959937156324,0.6640809112333071,0.6088010313207283,0.9186959937156324,0.6640809112333071,0.6095233472273206,14.757693114347433,False,fixed1,0.0,0.0,0.0
ATR-GTP-strong,5,10184,0.6056724584477301,0.9209544383346425,0.64856637863315,0.6056724584477301,0.9209544383346425,0.64856637863315,0.6063983229438211,14.540327896059424,False,strong,-0.003128572872998281,0.002258444619010147,-0.015514532600157116
ATR-GTP-adaptive,5,10184,0.6113375280968789,0.9191869599371564,0.6652592301649647,0.6113375280968788,0.9191869599371564,0.6652592301649647,0.612160862210756,15.20664102766713,False,adaptive,0.002536496776150532,0.0004909662215240029,0.0011783189316575404
ATR-GTP-adaptive_smooth,5,10184,0.6137806926804229,0.9262568735271013,0.6643754909662215,0.6137806926804227,0.9262568735271013,0.6643754909662215,0.6145925920451984,14.480374837307435,False,adaptive_smooth,0.0049796613596945205,0.007560879811468912,0.00029457973291435735
