sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
cup222,2010,0.24911088123737749,0.4597014925373134,0.2443054867979533,51.97754924437898,0.4880597014925373,all;small_rigid_object
giraffe222,2390,0.2744397033845644,0.5502092050209205,0.27050101251345293,68.45201903343617,0.38410041841004183,all;large_or_deformable_object
giraffe_motion,1500,0.28817161716171624,0.5153333333333333,0.284081832326237,50.910274064158436,0.406,all;fast_motion;large_or_deformable_object
fighter_mul,2000,0.37606435643564357,0.6855,0.373373287137748,32.24877283306338,0.299,all;similar_or_multiple_objects
bottle_mul222,1101,0.4480894955980611,0.6385104450499546,0.4466853148619852,35.83660440991409,0.17983651226158037,all;similar_or_multiple_objects;small_rigid_object
dove_mul,1930,0.4503667983378648,0.7419689119170985,0.4490387639602753,25.080493554991424,0.19326424870466322,all;similar_or_multiple_objects
star_mul222,2036,0.45633060359081096,0.6841846758349706,0.45489035301008957,32.659634034307075,0.2224950884086444,all;similar_or_multiple_objects
elephant222,2290,0.5077305547148601,0.8541484716157205,0.5073334194107005,17.87570827631405,0.12096069868995633,all;large_or_deformable_object
star_mul,2160,0.5091950861752842,0.9907407407407407,0.5092243428058995,7.579615289743863,0.00787037037037037,all;similar_or_multiple_objects
star_motion,2122,0.5115713739140173,0.939679547596607,0.5115235000875874,10.440127870945423,0.05984919886899152,all;fast_motion
ship_motion,2301,0.5156174026789901,0.9643633202955237,0.515722212437063,7.690132431525892,0.009561060408518035,all;fast_motion
airplane_mul222,2051,0.5234828699837316,0.894685519258898,0.5234169552673174,14.395865904547616,0.07947342759629449,all;similar_or_multiple_objects
tower333,2401,0.5244060849233612,0.948771345272803,0.5245947885394964,12.291647978987251,0.037484381507705125,all;large_or_deformable_object
bike222,1899,0.5375679748069594,0.8799368088467614,0.5374082283385652,22.67645900939396,0.0995260663507109,all
giraffe_low,2267,0.5508173666947639,0.9677988531098368,0.551240091304244,21808.80248313165,0.011910013233348038,all;low_event_density;large_or_deformable_object
truck_hdr,1969,0.5748960370897425,0.9801929913661758,0.5754777571400245,8.841093229989806,0.01218892839004571,all;high_dynamic_range
bike333,2001,0.5916398236525302,0.9630184907546226,0.5925325900653808,8.352362764815396,0.022988505747126436,all
whale_mul222,2171,0.6110429559768505,0.8466144633809305,0.6118922574639535,15.443747613184927,0.04007369875633349,all;similar_or_multiple_objects;large_or_deformable_object
box_hdr,1948,0.6188271291194829,0.9111909650924025,0.6199940928439491,12.016820555825754,0.014887063655030801,all;high_dynamic_range;small_rigid_object
ship,967,0.6235064044150018,1.0,0.6246480005894287,6.405922499270653,0.001034126163391934,all
bike_low,1290,0.6351830531890397,0.9961240310077519,0.6364233730338242,11.695908846277925,0.0,all;low_event_density
star,1156,0.6521292267635068,1.0,0.6537108488509786,4.1233338671082045,0.0,all
cup_low,1933,0.653895601665702,0.9901707190894982,0.6554893454406159,9.467410045255523,0.0,all;low_event_density;small_rigid_object
truck,1131,0.6710962873475675,1.0,0.6728872911636736,3.8582114392395694,0.0,all
dog_motion,2788,0.6836583945338581,0.9888809182209469,0.685509716357624,7.721251049274837,0.0003586800573888092,all;fast_motion
box_low,2084,0.6956585773740523,0.9923224568138196,0.6975516443450788,9.145255524809635,0.0004798464491362764,all;low_event_density;small_rigid_object
dove_motion,2202,0.6996025215600579,0.9409627611262489,0.7015609502391725,10.31139040547794,0.0013623978201634877,all;fast_motion
dove_mul222,1297,0.7312762887699716,0.9244410177332305,0.733769805357395,9.148844515751852,0.004626060138781804,all;similar_or_multiple_objects
tower,1144,0.737147753236862,1.0,0.7394452704670179,4.582910855669186,0.0,all;large_or_deformable_object
dog,642,0.7407698713796612,1.0,0.7430056221057425,3.6475825121874195,0.0,all
cow_mul222,2231,0.7621321522560145,0.9852084267144778,0.7647457343469223,6.118333185095781,0.004930524428507396,all;similar_or_multiple_objects
tank_low,2276,0.7836659764394718,1.0,0.7866022961644605,3.1449882935851154,0.0,all;low_event_density
