threshold,precision
0,0.0006031363088057901
1,0.020556895858464014
2,0.07837421257204129
3,0.16318187910467766
4,0.26142608229459857
5,0.36194880042889693
6,0.4539605950944914
7,0.5394719206540678
8,0.6111446186838225
9,0.6741221015949604
10,0.7269467899745342
11,0.7698364830451682
12,0.8033608095429567
13,0.8313228789706474
14,0.8530190323013
15,0.8693204664254122
16,0.8826397265782067
17,0.8927757673234151
18,0.9007505696287361
19,0.9060447661171425
20,0.9104175043559845
21,0.9137850154134834
22,0.9165493901621766
23,0.9186436134566413
24,0.92048652995577
25,0.9217765715051601
26,0.922848813831926
27,0.9240048250904704
28,0.9250100522718134
29,0.9258644953759549
30,0.9266184157619622
31,0.9274058437206809
32,0.9280257338158424
33,0.9286288701246481
34,0.9291984988607426
35,0.9298854041013269
36,0.9303880176919984
37,0.9309241388553813
38,0.9313429835142742
39,0.9316948130277443
40,0.9322141804047714
41,0.9326665326363758
42,0.9331859000134031
43,0.9337387749631416
44,0.9340906044766117
45,0.9345932180672832
46,0.9350120627261761
47,0.9354979225304919
48,0.9357659831121834
49,0.9362350891301434
50,0.9367041951481034
