threshold,success
0.0,1.0
0.01,0.9321974266184158
0.02,0.9316445516686771
0.03,0.9310414153598713
0.04,0.9305723093419113
0.05,0.9301869722557298
0.06,0.9297178662377698
0.07,0.9291817450743868
0.08,0.9287796542018496
0.09,0.9281597641066881
0.1,0.9276068891569494
0.11,0.9270205066344994
0.12,0.9264173703256936
0.13,0.9256466961533306
0.14,0.9247587454764777
0.15,0.9240048250904704
0.16,0.9230163516954831
0.17,0.9221116472322745
0.18,0.9210394049055086
0.19,0.9198331322878971
0.2,0.9185095831657955
0.21,0.9171692802573381
0.22,0.9155776705535451
0.23,0.913868784345262
0.24,0.9116907921190189
0.25,0.9094290309609971
0.26,0.9071002546575526
0.27,0.904654201849618
0.28,0.9019735960327034
0.29,0.8988573917705401
0.3,0.8957579412947326
0.31,0.8923904302372336
0.32,0.8886375820935531
0.33,0.8843151052137783
0.34,0.879490014743332
0.35000000000000003,0.8742795871867042
0.36,0.8692199437072778
0.37,0.8636241790644685
0.38,0.8577268462672564
0.39,0.851427422597507
0.4,0.8447259080552205
0.41000000000000003,0.8371699504087924
0.42,0.8294799624715186
0.43,0.8210695617209489
0.44,0.8119722557297949
0.45,0.8025566277978823
0.46,0.793006969575124
0.47000000000000003,0.7826028682482241
0.48,0.7707076799356655
0.49,0.7594156279319126
0.5,0.7469508108832597
0.51,0.733631550730465
0.52,0.7204798284412277
0.53,0.705518697225573
0.54,0.6907251038734754
0.55,0.6763168476075593
0.56,0.6598478756198901
0.5700000000000001,0.643730733145691
0.58,0.6257874279587187
0.59,0.608045168208015
0.6,0.5892306661305455
0.61,0.5680706339632757
0.62,0.548619488004289
0.63,0.528833266318188
0.64,0.5086114461868382
0.65,0.48706607693338694
0.66,0.4651688781664656
0.67,0.44295335745878567
0.68,0.4215085109234687
0.6900000000000001,0.3986060849752044
0.7000000000000001,0.3757371665996515
0.71,0.3534881383192601
0.72,0.3300160836349015
0.73,0.30572309341911275
0.74,0.28347406513872137
0.75,0.2609569762766385
0.76,0.23865768663718
0.77,0.2163751507840772
0.78,0.19395858464012866
0.79,0.17246347674574453
0.8,0.15245945583701917
0.81,0.1338795067685297
0.8200000000000001,0.11555086449537595
0.8300000000000001,0.09720546843586651
0.84,0.08140664790242595
0.85,0.06713242192735558
0.86,0.0548854041013269
0.87,0.044129473260956974
0.88,0.03459656882455435
0.89,0.02632019836483045
0.9,0.019250100522718135
0.91,0.013888888888888888
0.92,0.009181074922932582
0.93,0.0062659160970379305
0.9400000000000001,0.0037863557163919045
0.9500000000000001,0.002362283876156011
0.96,0.0011225036858329982
0.97,0.0006533976678729393
0.98,0.00025130679533574585
0.99,0.00016753786355716392
1.0,0.00016753786355716392
