threshold,success
0.0,1.0
0.01,0.8928930438279051
0.02,0.8919045704329178
0.03,0.8910333735424206
0.04,0.8902626993700576
0.05,0.8893747486932047
0.06,0.888352767725506
0.07,0.8873642943305187
0.08,0.8864093285082428
0.09,0.8852700710360542
0.1,0.8841643211365768
0.11,0.883092078809811
0.12,0.8818355448331323
0.13,0.8805790108564535
0.14,0.8788198632891033
0.15,0.8773790376625117
0.16,0.8757371665996515
0.17,0.8737769735960327
0.18,0.8715654737970782
0.19,0.8695885270071037
0.2,0.8669246749765447
0.21,0.8645958986731002
0.22,0.8615634633427155
0.23,0.8584807666532637
0.24,0.8552137783138989
0.25,0.8518295134700442
0.26,0.848177188044498
0.27,0.8439217263101461
0.28,0.8396830183621499
0.29,0.8352265111915292
0.3,0.8304851896528616
0.31,0.8257103605414824
0.32,0.8199805656078274
0.33,0.8140162176651924
0.34,0.8076497788500201
0.35000000000000003,0.8012498324621364
0.36,0.7942299959790913
0.37,0.787277174641469
0.38,0.7792186034043694
0.39,0.7712605548854041
0.4,0.7624815708350087
0.41000000000000003,0.7532334807666533
0.42,0.7433319930304249
0.43,0.7336147969441094
0.44,0.7225740517356922
0.45,0.7109134164321137
0.46,0.6983313228789706
0.47000000000000003,0.6856319528213376
0.48,0.6717765715051601
0.49,0.6581892507706741
0.5,0.6437139793593352
0.51,0.6283340034847875
0.52,0.6126357056694813
0.53,0.5967698699906179
0.54,0.5789103337354242
0.55,0.5610675512665863
0.56,0.5416331590939553
0.5700000000000001,0.5221485055622571
0.58,0.5011392574721887
0.59,0.4795268730733146
0.6,0.45769668945181613
0.61,0.43553143010320333
0.62,0.41398606084975204
0.63,0.39280927489612655
0.64,0.37064401554751375
0.65,0.3485122637716124
0.66,0.3257103605414824
0.67,0.3039639458517625
0.68,0.28298820533440555
0.6900000000000001,0.2624815708350087
0.7000000000000001,0.24170687575392039
0.71,0.22041281329580484
0.72,0.19938681141938078
0.73,0.17810950274762097
0.74,0.15986462940624582
0.75,0.14195483179198498
0.76,0.12493298485457713
0.77,0.10943573247553948
0.78,0.09440758611446187
0.79,0.08040142072108296
0.8,0.06922664522182014
0.81,0.05791783943171157
0.8200000000000001,0.04774829111379172
0.8300000000000001,0.03938815172228924
0.84,0.03151387213510253
0.85,0.024812357592815977
0.86,0.01945114595898673
0.87,0.014743331993030425
0.88,0.011091006567484251
0.89,0.007773756869052406
0.9,0.005679533574587857
0.91,0.003970647366304785
0.92,0.002496314167001742
0.93,0.001541348344725908
0.9400000000000001,0.0009549658222758343
0.9500000000000001,0.0006533976678729393
0.96,0.0004188446588929098
0.97,0.00028481436804717866
0.98,0.00013403029084573114
0.99,0.00013403029084573114
1.0,0.00013403029084573114
