threshold,success
0.0,1.0
0.01,0.5474121848515537
0.02,0.5415169767069986
0.03,0.5357816747508128
0.04,0.5300250519695112
0.05,0.523202387932413
0.06,0.5160066094557859
0.07,0.5095463994456585
0.08,0.5036298704759874
0.09,0.49791588934491765
0.1,0.49246841852779705
0.11,0.48738340173764727
0.12,0.48265017856191034
0.13,0.4778210116731518
0.14,0.47299184478439316
0.15,0.46819465913330843
0.16,0.46374926709663666
0.17,0.4591013272213635
0.18,0.4541762166195832
0.19,0.4491978039550131
0.2,0.44428335376579076
0.21,0.4391556953254091
0.22,0.43475294493896915
0.23,0.42988113639997866
0.24,0.4260540482916689
0.25,0.4221949789456852
0.26,0.41817600341133204
0.27,0.4143169340653483
0.28,0.4101380523426257
0.29,0.40658813496082297
0.3,0.40327274665529556
0.31,0.399690848035819
0.32,0.3963541389051756
0.33,0.3928148819359309
0.34,0.3894142103299398
0.35000000000000003,0.3859922178988327
0.36,0.38290069825702255
0.37,0.37952134747614735
0.38,0.3762379404082938
0.39,0.37295453334044026
0.4,0.369276691007942
0.41000000000000003,0.3657267736261393
0.42,0.36227279995735834
0.43,0.35842439102393264
0.44,0.35497041735515167
0.45,0.35104738553382014
0.46,0.3473055807259741
0.47000000000000003,0.34356377591812803
0.48,0.3394595170833111
0.49,0.3349821438089654
0.5,0.33099514951228615
0.51,0.3266670220137519
0.52,0.32217898832684827
0.53,0.31769095463994457
0.54,0.31318160012792495
0.55,0.3083311124140504
0.56,0.3030861894355312
0.5700000000000001,0.298129097596077
0.58,0.2927669100794201
0.59,0.28704226853579234
0.6,0.28127498534193274
0.61,0.2751665689462182
0.62,0.26829060284633016
0.63,0.2619369969617824
0.64,0.25515697457491604
0.65,0.24785459197270934
0.66,0.24040296359469113
0.67,0.23254623953947018
0.68,0.22365545546612653
0.6900000000000001,0.2151697670699856
0.7000000000000001,0.20657747454826503
0.71,0.19684451788284207
0.72,0.18750599648206387
0.73,0.17821011673151751
0.74,0.16859442460423218
0.75,0.15901071371462075
0.76,0.14813709290549545
0.77,0.1376792281861308
0.78,0.12807419647140345
0.79,0.11731784020041576
0.8,0.10707318373221043
0.81,0.09718032087841799
0.8200000000000001,0.08742604338787911
0.8300000000000001,0.07718138691967379
0.84,0.06769361974308406
0.85,0.058173871328820424
0.86,0.0490911998294334
0.87,0.04080805927189382
0.88,0.03318586429294814
0.89,0.025766217152603806
0.9,0.019114119716433026
0.91,0.014466179841159853
0.92,0.01008475027983583
0.93,0.00691860775011993
0.9400000000000001,0.004530675337135547
0.9500000000000001,0.0026118010767016684
0.96,0.0013112307446298173
0.97,0.0004797185651084697
0.98,0.00010660412557965994
0.99,1.0660412557965993e-05
1.0,0.0
