threshold,precision
0,0.0
1,0.020009594371302168
2,0.0706572144341986
3,0.12797825275838176
4,0.17608869463248228
5,0.21241938063003038
6,0.24118117371142264
7,0.264889931240339
8,0.28286338681306966
9,0.2992910825648953
10,0.31346943126699
11,0.32515324343052077
12,0.33590959970150847
13,0.3449283087255477
14,0.35384041362400726
15,0.3619529875806194
16,0.36921272853259424
17,0.3764618090720111
18,0.3836682479611961
19,0.3905015724108523
20,0.3969937636586536
21,0.4034113320185491
22,0.4101167315175097
23,0.415990618836949
24,0.4220990352326635
25,0.4276531101753638
26,0.4329513352166729
27,0.438249560257982
28,0.4430041042588348
29,0.4483662917754917
30,0.4528649858749534
31,0.4578647193646394
32,0.46308832151804274
33,0.4679388092319173
34,0.4728639198336976
35,0.47837535312616597
36,0.4834497095037578
37,0.488086988966473
38,0.4932572890570865
39,0.4985768349235115
40,0.5036298704759874
41,0.5088534726293907
42,0.5143755663344172
43,0.5194179414743351
44,0.5243856937263472
45,0.5289696711262726
46,0.5337455359522414
47,0.5387452694419274
48,0.5436597196311497
49,0.5486274718831619
50,0.5542668301263259
