threshold,precision
0,0.0006533976678729393
1,0.017943305186972257
2,0.06770205066344993
3,0.1445014073180539
4,0.23410065674842515
5,0.33056895858464014
6,0.4195650717062056
7,0.5036355716391905
8,0.5727449403565206
9,0.6318020372604208
10,0.6837555287494974
11,0.7266284680337757
12,0.7612920520037528
13,0.790879238707948
14,0.8143010320332396
15,0.8326799356654604
16,0.8462672563999464
17,0.8571404637448063
18,0.8654670955635974
19,0.8724701782602868
20,0.8786188178528347
21,0.8831255863825225
22,0.8872470178260287
23,0.8906815440289505
24,0.8935631952821338
25,0.8963443238171827
26,0.8989076531296073
27,0.9012699370057633
28,0.9033306527275164
29,0.9051735692266453
30,0.906664656212304
31,0.9082227583433856
32,0.9096133226109101
33,0.9107860876558103
34,0.9119923602734218
35,0.9129975874547648
36,0.9139860608497521
37,0.9150583031765179
38,0.915996515212438
39,0.9167336818120896
40,0.9175546173435196
41,0.9183923066613054
42,0.9190289505428226
43,0.9196655944243399
44,0.9203022383058571
45,0.9208383594692401
46,0.9214414957780458
47,0.9218100790778716
48,0.9221954161640531
49,0.922614260822946
50,0.9231168744136174
