threshold,precision
0,0.0
1,0.02431640104472043
2,0.08837482010553808
3,0.1600660945578594
4,0.21741911411971643
5,0.25873887319439265
6,0.29045360055434144
7,0.31449283087255475
8,0.3337242151271254
9,0.3498854005650019
10,0.3624113853206119
11,0.3736154789190342
12,0.3830925856830659
13,0.391844784393156
14,0.39970150844837693
15,0.4072277597143009
16,0.41396514045093546
17,0.42075582325035976
18,0.42691754170886415
19,0.4325355791269122
20,0.43776984169287353
21,0.4433878791109216
22,0.4487180853899046
23,0.4540909333191194
24,0.4591333084590374
25,0.4637599275091946
26,0.468653056873301
27,0.4729811843718352
28,0.47723468898246363
29,0.48168008101913545
30,0.4862427375939449
31,0.4906454879803848
32,0.4951122008421726
33,0.5002611801076702
34,0.5051649698843346
35,0.5103032887372742
36,0.5151964181013805
37,0.5200255849901391
38,0.5248547518788977
39,0.5292681626778957
40,0.5337242151271254
41,0.5383508341772827
42,0.5428495282767443
43,0.5470497308245829
44,0.5511753104845157
45,0.5555460796332818
46,0.5597356217685624
47,0.5646927136080166
48,0.5699482969990939
49,0.5753637865785406
50,0.5803528596556686
