threshold,success
0.0,1.0
0.01,0.6314375566334417
0.02,0.5934758275145248
0.03,0.5731677415915996
0.04,0.5564628751132669
0.05,0.5415596183572304
0.06,0.528532594211396
0.07,0.5174244443259954
0.08,0.5084270561270721
0.09,0.5007515590853366
0.1,0.493417195245456
0.11,0.48751132668834285
0.12,0.4815201748307659
0.13,0.47534779595970367
0.14,0.4703693832951335
0.15,0.4652737060924258
0.16,0.46055114332924685
0.17,0.4558179201535099
0.18,0.45067960130057033
0.19,0.4455093012099568
0.2,0.44070145514631415
0.21,0.43638398806033796
0.22,0.4321091626245936
0.23,0.4279942433772187
0.24,0.4243164010447204
0.25,0.4201588401471137
0.26,0.4164276957518256
0.27,0.4126965513565375
0.28,0.40904002984915516
0.29,0.4055327541175843
0.3,0.4017589680720644
0.31,0.398134427802356
0.32,0.394371302169394
0.33,0.3913757262406055
0.34,0.38791109215926656
0.35000000000000003,0.3848302329300144
0.36,0.3815468258621609
0.37,0.37796492724268427
0.38,0.3748734076008742
0.39,0.37143009434465113
0.4,0.3680827248014498
0.41000000000000003,0.3647353552582485
0.42,0.3611854378764458
0.43,0.3575289163690635
0.44,0.35386173444912317
0.45,0.35013059005383507
0.46,0.3461329353445978
0.47000000000000003,0.3424870742497735
0.48,0.3386493257289057
0.49,0.334491764831299
0.5,0.3304727892969458
0.51,0.3262939075742231
0.52,0.3220723842012686
0.53,0.31775491711529236
0.54,0.3134587708544321
0.55,0.3089707371675284
0.56,0.3041628911038857
0.5700000000000001,0.2993976866904749
0.58,0.29456851980171633
0.59,0.28950482383668247
0.6,0.2839933905442141
0.61,0.2787164863280209
0.62,0.2735675070625233
0.63,0.26751239272959865
0.64,0.2610308618943553
0.65,0.2544533873460903
0.66,0.24753477959597037
0.67,0.24073343638398806
0.68,0.23358029955759288
0.6900000000000001,0.22588348169074143
0.7000000000000001,0.21823996588667982
0.71,0.21077767709610362
0.72,0.20285699056553488
0.73,0.19427535845637225
0.74,0.1852353286072171
0.75,0.1766430360854965
0.76,0.16747508128564575
0.77,0.1585629763871862
0.78,0.1492777570491978
0.79,0.13963008368423857
0.8,0.12999307073183733
0.81,0.12105964500826182
0.8200000000000001,0.11132668834283886
0.8300000000000001,0.10189222322903896
0.84,0.09299077874313735
0.85,0.08312989712701882
0.86,0.07373807366345078
0.87,0.0648579500026651
0.88,0.05555140983956079
0.89,0.046554021640637495
0.9,0.03840946644635147
0.91,0.03055274239113054
0.92,0.023154416075902136
0.93,0.016193166675550343
0.9400000000000001,0.010980224934704973
0.9500000000000001,0.006886626512446032
0.96,0.003507275731570812
0.97,0.0013538723948616812
0.98,0.0003411332018549118
0.99,3.198123767389798e-05
1.0,0.0
