threshold,precision
0,0.0
1,0.023826022067053997
2,0.08249027237354085
3,0.14182612867117958
4,0.18575768882255744
5,0.2173338308192527
6,0.24086136133468367
7,0.2593784979478706
8,0.27487873780715316
9,0.2888865199083204
10,0.3016576941527637
11,0.31242471083630935
12,0.3220297425510367
13,0.3307499600234529
14,0.3387559298544854
15,0.3466233143222643
16,0.3540536218751666
17,0.3611001545759821
18,0.36750706252331966
19,0.3742657640850701
20,0.38051276584403815
21,0.3864612760513832
22,0.39236714460849637
23,0.39785725707584885
24,0.4032301050050637
25,0.4084963488086989
26,0.41405042375139917
27,0.4195938382815415
28,0.42578753797771973
29,0.4320345397366878
30,0.43782314375566334
31,0.44311070838441446
32,0.44857950002665103
33,0.4540056500186557
34,0.4594424604232184
35,0.464879270827781
36,0.47047598742071317
37,0.4761473269015511
38,0.4818399872075049
39,0.4872128351367198
40,0.49284153296732586
41,0.4982783433718885
42,0.5035552475880817
43,0.5087468685038111
44,0.5141623580832578
45,0.5192367144608496
46,0.5247374873407601
47,0.5306220350727573
48,0.5361547891903417
49,0.5422099035232664
50,0.5490005863226907
